,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,test
0,0.49065423011779785,0.9088157894736842,0.9085834129134183,0.9107896040793245,0.9088157894736842,99.469,76.406,1.58,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,ORIG
1,0.9149090051651001,0.8270152505446623,0.5886300217562167,0.615185509988166,0.5785591308748507,90.3274,76.223,1.58,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,20NG
2,0.4418773651123047,0.9147368421052632,0.9149598750102417,0.9155630970986736,0.9147368421052632,99.6746,76.248,0.92,pretrained/bert-base-uncased-ag_news-ORIG+INV,ORIG
3,0.8254008293151855,0.8059549745824256,0.6109898426963128,0.6254659259028686,0.6127472354625891,90.424,76.141,0.92,pretrained/bert-base-uncased-ag_news-ORIG+INV,20NG
4,27.09234046936035,0.9101315789473684,0.9098827601773326,0.9099296533934368,0.9101315789473684,99.608,76.299,0.72,pretrained/bert-base-uncased-ag_news-ORIG+SIB,ORIG
5,30.235000610351562,0.8688453159041394,0.6595550368211807,0.6726531427695707,0.6488029181145984,90.5378,76.046,0.72,pretrained/bert-base-uncased-ag_news-ORIG+SIB,20NG
6,29.666908264160156,0.9122368421052631,0.9119077705652677,0.9121903860649965,0.9122368421052631,99.59,76.313,0.99,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,ORIG
7,33.68073272705078,0.8259985475671751,0.6284928916191954,0.6394804266080366,0.619568438928964,90.5794,76.011,0.99,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,20NG
8,28.266122817993164,0.9084210526315789,0.9080914367648951,0.9081401850368371,0.908421052631579,98.9997,76.768,0.72,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,ORIG
9,32.3331413269043,0.8623093681917211,0.6415267310469681,0.6438234899262668,0.6434029940944135,89.9141,76.573,0.72,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,20NG
10,30.506315231323242,0.9281578947368421,0.9281295995874079,0.9281824905902183,0.9281578947368422,99.2855,76.547,0.57,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,ORIG
11,33.656375885009766,0.863761801016703,0.6390976899612475,0.6474792176515345,0.635725974858728,90.2249,76.309,0.57,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,20NG
12,29.79079818725586,0.920921052631579,0.9208012733898954,0.9216308683923433,0.920921052631579,99.5651,76.332,0.49,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,ORIG
13,36.461952209472656,0.8608569353667392,0.6393429540364712,0.6485116805752711,0.6337420420660441,90.4836,76.091,0.49,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,20NG
14,0.45142197608947754,0.9134210526315789,0.9133178340031639,0.9147905436426051,0.913421052631579,98.0669,77.498,1.45,pretrained/roberta-base-ag_news-ORIG+ORIG,ORIG
15,0.7447935938835144,0.8591140159767611,0.6346255038957687,0.6325648806922493,0.6495483578777768,89.4978,76.929,1.45,pretrained/roberta-base-ag_news-ORIG+ORIG,20NG
16,0.4442376494407654,0.9135526315789474,0.9138057089299005,0.9144265788362469,0.9135526315789473,98.2489,77.355,0.86,pretrained/roberta-base-ag_news-ORIG+INV,ORIG
17,0.574479341506958,0.8572258533042847,0.6213322665122369,0.6421913979053567,0.6052027069547448,89.5524,76.882,0.86,pretrained/roberta-base-ag_news-ORIG+INV,20NG
18,30.984886169433594,0.9151315789473684,0.9150960435346576,0.9165090424710578,0.9151315789473684,98.3384,77.284,0.79,pretrained/roberta-base-ag_news-ORIG+SIB,ORIG
19,38.441558837890625,0.8286129266521424,0.6378123531733383,0.6927372497897468,0.5942354349707999,89.6723,76.78,0.79,pretrained/roberta-base-ag_news-ORIG+SIB,20NG
20,32.96159362792969,0.9113157894736842,0.911438879844801,0.9121459432096168,0.9113157894736843,98.3687,77.26,0.79,pretrained/roberta-base-ag_news-ORIG+INVSIB,ORIG
21,39.14543533325195,0.7856209150326797,0.6083312273502849,0.649153946905636,0.5765698403960333,89.6194,76.825,0.79,pretrained/roberta-base-ag_news-ORIG+INVSIB,20NG
22,27.54016876220703,0.9151315789473684,0.9150827190373674,0.9154405486346238,0.9151315789473684,98.4034,77.233,0.92,pretrained/roberta-base-ag_news-ORIG+TextMix,ORIG
23,30.29515838623047,0.7183732752360203,0.5522315203694113,0.5781931358343362,0.555773135814268,89.6956,76.76,0.92,pretrained/roberta-base-ag_news-ORIG+TextMix,20NG
24,29.890785217285156,0.9192105263157895,0.9187758550930331,0.9223047603128304,0.9192105263157895,97.9912,77.558,0.57,pretrained/roberta-base-ag_news-ORIG+SentMix,ORIG
25,37.06281280517578,0.8502541757443718,0.5939117098988776,0.6638930595138202,0.5589230025175979,89.3209,77.082,0.57,pretrained/roberta-base-ag_news-ORIG+SentMix,20NG
26,28.364852905273438,0.9201315789473684,0.9201649423957359,0.9204734299228763,0.9201315789473684,97.9904,77.559,0.46,pretrained/roberta-base-ag_news-ORIG+WordMix,ORIG
27,31.42995262145996,0.824400871459695,0.631843434164528,0.6575076426853992,0.6081369397238253,89.3052,77.095,0.46,pretrained/roberta-base-ag_news-ORIG+WordMix,20NG
28,0.47805291414260864,0.9123684210526316,0.9124744769691152,0.9138075045811802,0.9123684210526315,237.641,31.981,1.45,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,ORIG
29,0.9048929810523987,0.8345679012345679,0.657022056794163,0.6978667179992397,0.6209853432984089,201.6648,34.141,1.45,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,20NG
