,dataset,sacrebleu_score,bert_score,bleurt_score,ttr_text,ttr_token,TSD,SSD,SD,TSD_norm,SSD_norm,SD_norm,SelfBleu
0,assets/AG_NEWS\INV\text.npy,44.63704924266062,0.9040482044219971,-0.6400588776171208,0.46930012881064836,0.21667508842849925,118.02946364490194,98.96169910138704,2.1810560615861845,0.016293410221549134,0.9893745922644291,0.012680558497594096,0.1616019019073155
1,assets/AG_NEWS\INVSIB\text.npy,16.227767281070005,0.8268829584121704,-1.26020749989897,0.29704939772350536,0.22735027386190176,224.46345940212854,99.17747644095724,1.4593620334454498,0.022053788504826935,0.9918635285160269,0.0053067710307107266,0.15966324912213914
2,assets/AG_NEWS\ORIG\text.npy,100.00000000000004,1.0,0.8798649787902832,0.4498389323515877,0.37558869701726844,147.96492423624272,99.39221007735208,2.7602347780649,0.03165022078189673,0.9938731257402417,0.021734132110747244,0.14207410146248153
3,assets/AG_NEWS\SentMix\text.npy,48.99946348637088,0.9351409673690796,-0.16423806697130203,0.3785251964863615,0.3058835201904951,152.0529631157131,98.97678899536007,1.6284249420125505,0.016356816169934715,0.9899941829226302,0.006729028686002275,0.20118759122206967
4,assets/AG_NEWS\SIB\text.npy,37.426479464036056,0.8979361653327942,-0.7402866904437542,0.3722184760620364,0.2913521261347348,159.8614326446856,98.9596639543473,1.742861962231345,0.016470372207365094,0.9895992125912475,0.006999445631451185,0.17428020525471508
5,assets/AG_NEWS\TextMix\text.npy,46.36927482924321,0.9250341653823853,-0.34836401507258413,0.377510495858391,0.2952216795939864,148.22151472618532,99.05975705165675,1.6292415369111064,0.01534384210415997,0.9905736217600877,0.006732403045087217,0.2037163460725343
6,assets/AG_NEWS\WordMix\text.npy,48.99946348637088,0.9351409673690796,-0.16423806697130203,0.3785251964863615,0.3058835201904951,152.0529631157131,99.01700275369646,1.6284249420125505,0.016356816169934715,0.9898378291368872,0.006729028686002275,0.20118759122206967
